step, task, epoch, num_class, num_instance, loss, acc1, acc5, accs, 
35, 0, 35, 10, 50, 1.9306406577428181, 45.052083333333336, 99.21875, 0.03333333333333333/0.0/1.0/0.0/0.0/0.1951219512195122/1.0/1.0/0.0/1.0, 
36, 0, 36, 10, 50, 1.930203119913737, 40.364583333333336, 95.57291666666667, 0.0/0.0/1.0/0.0/0.0/0.0/1.0/1.0/0.0/1.0, 
37, 0, 37, 10, 50, 1.9249215523401897, 39.84375, 92.70833333333333, 0.0/0.0/1.0/0.0/0.0/0.02564102564102564/1.0/1.0/0.0/1.0, 
38, 0, 38, 10, 50, 1.9147773186365764, 42.708333333333336, 91.14583333333333, 0.0/0.0/1.0/0.0/0.0/0.2222222222222222/1.0/1.0/0.0/1.0, 
39, 0, 39, 10, 50, 1.8976487318674724, 45.052083333333336, 89.58333333333333, 0.0/0.14285714285714285/1.0/0.0/0.0/0.3055555555555556/1.0/1.0/0.0/1.0, 
40, 0, 40, 10, 50, 1.8950177431106567, 51.041666666666664, 91.92708333333333, 0.05714285714285714/0.8064516129032258/0.9459459459459459/0.0/0.0/0.34285714285714286/1.0/1.0/0.0/1.0, 
41, 0, 41, 10, 50, 1.8971409400304158, 51.302083333333336, 97.13541666666667, 0.1111111111111111/0.9487179487179487/0.8536585365853658/0.0/0.0/0.16216216216216217/1.0/1.0/0.0/1.0, 
42, 0, 42, 10, 50, 1.8947322765986125, 53.385416666666664, 98.4375, 0.10256410256410256/0.9565217391304348/0.8780487804878049/0.0/0.0/0.17647058823529413/1.0/1.0/0.0/1.0, 
43, 0, 43, 10, 50, 1.8951382239659627, 48.177083333333336, 99.21875, 0.025/1.0/0.8285714285714286/0.0/0.0/0.075/1.0/1.0/0.0/1.0, 
44, 0, 44, 10, 50, 1.8892896970113118, 50.78125, 99.47916666666667, 0.0/1.0/0.868421052631579/0.0/0.0/0.20512820512820512/1.0/1.0/0.0/1.0, 
45, 0, 45, 10, 50, 1.883570631345113, 51.302083333333336, 99.21875, 0.05128205128205128/1.0/0.7948717948717948/0.0/0.0/0.24324324324324326/1.0/1.0/0.0/1.0, 
46, 0, 46, 10, 50, 1.8816476265589397, 51.302083333333336, 100.0, 0.14285714285714285/1.0/0.84375/0.0/0.0/0.2894736842105263/1.0/1.0/0.0/1.0, 
47, 0, 47, 10, 50, 1.8799779812494914, 53.90625, 99.21875, 0.20512820512820512/1.0/0.7631578947368421/0.0/0.0/0.2777777777777778/1.0/1.0/0.0/1.0, 
48, 0, 48, 10, 50, 1.8954012393951416, 53.385416666666664, 99.21875, 0.2972972972972973/1.0/0.8048780487804879/0.0/0.0/0.23255813953488372/1.0/1.0/0.0/1.0, 
